timestamp,byteRates1,packNums1
1521118801.000008747,458381333,469874
1521118802.000007078,452049601,470521
1521118803.000006244,485076492,490591
1521118804.000007920,455852759,472897
1521118805.000009939,460873288,475153
1521118806.000006557,442467489,462292
1521118807.000005990,421733516,448326
1521118808.000006415,409814528,440754
1521118809.000009596,444521903,468236
1521118810.000010438,462226817,474936
1521118811.000006713,477747830,485783
1521118812.000007086,456432609,468619
1521118813.000008374,478109670,484370
1521118814.000012666,499567110,502350
1521118815.000008114,444460798,467037
1521118816.000007614,469698537,479487
1521118817.000006221,474345801,484195
1521118818.000007354,447518316,466299
1521118819.000014029,452812726,469617
1521118820.000007123,453036157,468971
1521118821.000012375,450003765,464858
1521118822.000007212,449751965,467862
1521118823.000007525,402148392,434299
1521118824.000018016,435626028,456501
1521118825.000014462,420233814,446353
1521118826.000012547,416632251,447314
1521118827.000008523,423324527,447475
1521118828.000006773,454527209,470403
1521118829.000006929,452925310,464234
1521118830.000010379,464532544,475922
1521118831.000007801,484463659,488182
1521118832.000008725,449371944,462410
1521118833.000013933,399675807,431373
1521118834.000010386,409536708,435443
1521118835.000006050,404234454,432504
1521118836.000006475,435246226,452579
1521118837.000006303,435317970,457091
1521118838.000012450,433247773,457920
1521118839.000009857,482331433,488951
1521118840.000006035,413295372,439916
1521118841.000006340,396879284,427915
1521118842.000006266,408766564,435370
1521118843.000008173,408755167,436236
1521118844.000007741,429470569,449560
1521118845.000015460,422843033,448037
1521118846.000009842,417490263,443240
1521118847.000007115,412095489,439465
1521118848.000013389,428445755,448796
1521118849.000007555,462973100,473317
1521118850.000011183,439932731,456580
1521118851.000007235,438143771,452159
1521118852.000013389,439452384,455733
1521118853.000006594,433412588,453297
1521118854.000006460,428594355,450737
1521118855.000007212,412176105,437501
1521118856.000017241,426814152,449064
1521118857.000009015,422180215,445989
1521118858.000006005,437149508,456716
1521118859.000006206,475504102,481723
1521118859.999994889,445613096,461098
